minimum_support, minimum_confidence, number_of_rules, minimum_lift, maximum_lift
3, 0.1, 34, 0.57, 4.18
3, 0.2, 30, 0.57, 4.18
3, 0.3, 23, 0.57, 4.18
3, 0.5, 11, 0.93, 4.18
3, 0.7, 5, 1.33, 4.18
7, 0.1, 4, 0.93, 1.5
7, 0.2, 4, 0.93, 1.5
7, 0.3, 4, 0.93, 1.5
7, 0.5, 3, 0.93, 1.5
7, 0.7, 0, 0, 0
11, 0.1, 0, 0, 0
11, 0.2, 0, 0, 0
11, 0.3, 0, 0, 0
11, 0.5, 0, 0, 0
11, 0.7, 0, 0, 0
19, 0.1, 0, 0, 0
19, 0.2, 0, 0, 0
19, 0.3, 0, 0, 0
19, 0.5, 0, 0, 0
19, 0.7, 0, 0, 0
23, 0.1, 0, 0, 0
23, 0.2, 0, 0, 0
23, 0.3, 0, 0, 0
23, 0.5, 0, 0, 0
23, 0.7, 0, 0, 0
31, 0.1, 0, 0, 0
31, 0.2, 0, 0, 0
31, 0.3, 0, 0, 0
31, 0.5, 0, 0, 0
31, 0.7, 0, 0, 0
